investor_uuid,investor_name,avg_likelihood
00011be5-d105-eaa0-69d6-6064e74916b2,Lillii RNB Inc,0.14285714285714285
0003f244-79d0-6178-353e-33dabaf3b2c6,NFX,0.0125
0005e438-8f64-d01c-822d-a2de10690fed,Stacy Templeton,0.2
00061f14-f018-e086-b068-41759f55cf59,Guillaume Lestrade,0.5
00063118-3cfe-3c48-79d9-94eaf4cdca51,Angel Capital Association,0.0
00066a7f-43f6-1cbe-ae2a-236ea16829b2,Victor & Victor,0.125
00066f10-a55c-706e-5e4f-034ad5993ad5,Sota Horiuchi,0.0
000bcbfe-af50-0fbd-af7b-363ac552c5fd,Jonathan Price,0.07142857142857142
000ede33-6c08-c865-e88e-0a59ec5daee8,Boltendahl International Partners,0.13988095238095238
000f0ba5-0fd2-4d64-92af-10374db6084f,Transvision,0.25
00101473-ada4-4207-9b7c-5365a98040ab,Fuji Investment Management,0.0
0011aaba-f07b-7644-438a-96a88bec762f,Mohammed Mounir,0.14285714285714285
0011f44a-833a-b198-ae65-777d1c363c4a,W Cheang,0.3333333333333333
00121759-7d9c-dc31-d0a7-60581cb33bb9,Fran Hauser,0.06666666666666667
00122598-4cf3-0a67-a91e-b1df72d8ee46,Tom Cole,0.2611111111111111
0012be53-1596-02da-be62-bb4e64ceda34,Zhongshan Broad-Ocean Motor,0.0
00141ae2-df2d-accc-3f96-b062f80c6ead,Ankur Bulsara,0.1875
001429de-1fdb-444e-b9bb-53f3044e2dab,June Lead Capital,0.0
00170928-1dea-6701-6825-d8e60271dacc,Iconix Brand Group,0.0
00179625-afe1-ee4a-5f07-5476c954bb23,The Duke of Bedford,0.0
0017e370-d941-822e-83bc-538beaab28da,Honda Motor,0.15476190476190474
001886fa-4634-d8c7-fc20-d5e2e40c884a,Guggenheim Baseball Management,0.2
0019689b-1db7-4be8-0dcc-633bf7d86d43,Chartwave,0.0
001968ce-46b3-3dc2-c34a-1dbd51b655e6,All Iron Ventures,0.06428571428571428
00197b5a-3456-9d09-14da-be6817a3a7fd,Cecily Drucker,0.125
001b5f53-8eac-15d4-d6d0-4ac47fdf077f,Jason Schmidt,0.3333333333333333
001e12da-151c-1cae-d898-4df437b5d99d,ZetrOZ,0.25
001e860c-6579-9835-b294-af1a65842ca9,Evan Rifkin,0.1626984126984127
0023569e-8871-9980-354d-e770c1273e7e,Olivier Janssens,0.0
00236d67-e5f5-e214-bdea-99eb45144513,Tunc Cerrahoglu,0.16666666666666666
002473bf-ab5a-9992-ef9a-13b2e5c988a5,Nest Collective Foundation,0.0
002519c3-b66e-60da-22e6-2f7cbf096acd,Warren Katz,0.14285714285714285
00255089-a053-42c4-f388-71a1234449b2,First Consulting Group,0.0
00259b9c-23ed-d13d-daae-e7f8b7d62225,Praveen Arichandran,0.0
0026bf40-8f42-87e2-b371-978055165959,Josh Elman,0.20833333333333334
0026f9e6-0e74-3ce0-3ffb-6bf3e9691204,Olga Vorkueva,0.0
00275c4b-70e4-6c46-a335-0ae89e74e8b8,Jason Goldberg,0.25
00287b2c-1fe4-4cb2-81d5-014ef631f2b3,Itochu-Shokuhin,0.0
0028db97-2e40-fc1e-9d46-d1d52563d2e3,SBICAP Securities,0.1
0029836e-5dec-d285-c440-00d33464ede2,Vipul Ved Prakash,0.0
0029bc51-5cdd-d32f-db7c-1d6b83b899c0,Robert FX Sillerman,0.0
002a7067-5a53-a3ed-aea6-b8b2415f26be,Todd Arky,0.0
002c3356-7b0b-57e2-14e3-a3e72adc5b42,Ravi Kiran,0.0
002c9bce-60d3-4889-a6d4-52a01f9e3a3e,Laura Gonzalez-Estefani,0.125
002cf34b-d62c-4427-ab6c-b7dbe334b246,Gather Ventures,0.0
002dba78-a5db-27e4-feb9-eb432b51fdfc,Microsoft Research,0.2
002f1a46-0891-c41a-e5a9-d3b97d242092,Dayam Fund,0.3333333333333333
002f58f0-3f0a-4600-bc5d-e668527b7640,Steven Tiley,0.14285714285714285
002f81ee-7053-617a-2f44-0e511bb727ab,Tashish Tulsian,0.3333333333333333
002f8715-7e27-c7f5-7190-8d2968cf7dc5,Covidien,0.0
0030191e-5a68-fea7-2b8a-cd71c2bdf66a,Rafael Socarras,0.3333333333333333
0030e1e1-4b95-49c3-87ab-a935032e7fa7,Unifam group,0.3333333333333333
0032d24f-2946-4ecb-a53b-8be257454850,Pale Fire Capital,0.25
0033f991-570a-4aad-996e-cce2d5a4e282,AYA Ventures,0.08333333333333333
0034d495-9f42-4d79-b6f6-8392ece3fa81,Liu Zhe,0.0
0034fcc5-e029-cc48-38b2-b7f4cc40f396,StartCaps Ventures,0.07857142857142857
0035815f-5218-a527-63a9-c70f26e96ede,Stephen Plumlee,0.4
003af4a2-74bc-83c1-58bd-f31717a17f6a,Bechtel Corporation,0.5071428571428571
003b5825-f113-3ae4-478c-c178c5d771ac,David Williams,0.0
003d551e-f6a6-5220-1b25-4a99cb91a071,Comstellar Technologies,0.0
003f3ddc-0be0-4616-9a9d-b95f8cdf3bbb,Venture Products Group,0.2
004100e3-e109-455e-9678-ad199c365109,Shuai Wang,0.0
004145e1-730c-457e-a7d8-2b6aa6d2d140,Dia Vikas Capital,0.0
00419ea6-1420-64bc-4bcd-ff316fbaaeca,Kevin Dewalt,1.0
0041b7bd-a61b-4a16-93ac-26f79ec84eed,Cradle Fund Sdn Bhd,0.16666666666666666
00434682-c985-6e5e-b421-c8281d2e6c15,Myers Capital Partners,0.0
0045d5e2-b645-95e1-ae1a-6f97fd2bdf5a,John Jacobs,0.16666666666666666
0045ea96-06bd-460d-931b-5601fcb91c03,Essence Ventures LLC,0.0
0046db3d-6882-610f-05ee-5e3a2f2a2b59,Jean-Baptiste Rudelle,0.0
0046e9ad-734f-c680-56b0-c9b10883c45e,Invoke Capital Partners,0.1849350649350649
00499a15-eaf2-640c-7c67-9b1c4ffd4663,IFX Corporation,0.6666666666666666
004aa899-980b-41b6-a5b6-45040eb93dd5,Abhay Amrute,0.0
004b15b5-6a3f-fcb2-8846-7baf1d616b22,Worldwide Innovation Challenge,0.0
004bea93-b853-4d8a-8c7c-36ab19306f07,La Macchia Group,0.0
004dd717-443b-96ad-5ea6-b99f12fac0e5,WTI International Inc.,0.3333333333333333
004e1358-ebd2-7f15-4c2e-13f00832898a,Sergey Ashin,0.0
004eccc2-9bc4-816e-2130-fc7bccec1aab,Jim McGovern,0.2
004f6ce6-89f5-fe68-5d70-c2020fd5195e,Catherine De Marignac,0.14285714285714285
0050d57f-9aad-4b02-a1e8-90348fa41c2b,G7 Renewable Energies,0.0
00512295-30cd-2ec6-2ded-ea51b3aed16d,Gemini Israel Ventures,0.1456201626656172
0052417e-c052-ff17-ca0a-8ae397a1704f,Par Equity,0.044478021978021975
005309ba-50ee-7897-cbaa-d77aa87294c0,Kei Aar,0.0
00534feb-bd38-1143-05bc-71b8260358b7,Alcom,0.0
00538f40-c6c7-5301-96ed-ede242c7af94,Jon Reynolds,0.038461538461538464
0053a7a0-08ec-45f7-8c2e-a1bab39daa1e,UTokyo Innovation Platform,0.12222222222222223
00546d98-e19a-b98a-13b1-faf2ac1b8f48,Jonathan Lavoie,0.0
0056daec-87a3-7a8a-0838-561cd74c12e3,"Clearmeadow Partners, LLC",0.25
0057e7c9-1f76-6398-c180-7c089aa334fd,Chloe Sladden,0.22857142857142856
0058aa67-9685-04e2-91b8-5d2a66ae72ca,FedS,0.5
0059e48a-7571-5874-5cfd-204b54214c55,Les Webb,0.0
005b16ab-ae20-490f-8088-0d89ac68ac8a,Marcus Wartmann,0.0
005b5809-6ca6-11f1-f539-3ed717e72d4e,Karim Sawabini,0.2
005bab27-f476-ad7e-9a45-4b8f2ba2a24f,Manatuck Hill Partners,0.0
005c4e22-cdcf-cde4-7afd-0642aed438fb,Mike Slade,0.22767857142857142
005d0405-7c1e-ded3-2222-73a3d342ec14,Evaristo Babé,0.2
005d5f9f-a605-d96a-5d6c-807c3b660489,John Scarano,0.2
005da640-4ae2-325c-c6c2-8079b64a9885,Morio Kurosaki,0.0
005dbcec-cb09-4f8a-91c7-5caa608268d1,C3 Ventures,0.0
005f8b73-57e0-4e63-a4f8-12fca9b4e7df,Blount Street Capital,0.0
00609688-b615-b0b0-e989-2fbb4909216c,Ingenious Media,0.08333333333333333
0060a264-32f6-3c7b-9830-254a643e2bfb,Xeni Capital Ventures gh,0.0
006211f2-7254-4586-3a0b-effd696cce1b,Universal Health Services,0.0
006302ed-5f07-f60c-bc90-6343e79ebce9,Creaturk,0.25
0063fb07-b8ce-a981-30d0-1de350c3cd16,David Toh,0.0
0065268e-0918-2cb3-c37e-1485668c9b5d,"Luye Medical Group Co., Ltd",0.0
0066571e-9ff0-3f58-0529-1e6533841792,i/o Ventures,0.3333333333333333
0066b70a-6516-f1ba-cb49-95b1bd5ceebd,Global H2O Investments,0.0
006909ee-659a-6c11-ec43-630418eeb275,Natalie McCullough,0.3333333333333333
0069fc90-fe23-7b47-b70f-6a5f899c2898,ICICI Prudential Mutual Fund,0.0
006a21fd-4cdc-437e-927d-069c93e2fb24,Jerry Pruttz Holding Ab,0.125
006a6cab-c911-d1de-70d3-dbe4c0573fbd,Texcel International,1.0
006b449a-5a0a-856e-bfdc-07f784aff382,Mesirow Financial,0.2610449735449735
006c4fe1-579a-166e-a5b3-cd6261705523,Richard Lumb,0.14285714285714285
006d0b80-23fd-e6d6-b916-1fb3e39ecdee,Service Management Group,0.0
00703500-a2ab-4899-fb4d-2af26609bd79,Kris Lichter,0.25
0071b342-d5fb-31c6-e1f4-c647f12be391,John Higgins,0.0
00735871-6e7b-dae2-4789-1d6096c490ef,Steven Sinofsky,0.34761904761904766
00737ec6-337f-9fed-91d7-4a406bfcabf9,Dorsey Wright and Associates,0.0
00744f0e-2a23-db04-0507-9417a719da13,Elm Street Ventures,0.2
00745d13-b7e7-ba57-9303-8eec2f2da31a,Michiel Muller,0.0
007bb0d9-331e-a161-610a-eb4052143b3c,Centre for Drug Design & Discovery (CD3),0.0
007c0c3e-ba28-04af-210d-41ed5511a2e4,Michael Gamson,0.041666666666666664
007c6a50-bcf1-4418-8876-f748350c39f3,Berke Bakay,0.2
007f5c9f-d6ce-3779-9f3d-181bdde41b3b,VenturesLab,0.16527777777777777
007fe159-e7a5-2783-2a4c-03ef6676e9ea,Jerry Rice,0.0
