year,0,1,2,3,4,5,6,7,8
1915,Manufacturing,,,,,,,,
1919,Artificial Intelligence,Data and Analytics,Financial Services,Information Technology,Internet Services,Privacy and Security,Science and Engineering,Software,
1968,Manufacturing,Artificial Intelligence,Data and Analytics,Hardware,Information Technology,Science and Engineering,Software,Consumer Electronics,Design
1975,Internet Services,Software,Content and Publishing,Gaming,Media and Entertainment,,,,
1976,Content and Publishing,Media and Entertainment,,,,,,,
1977,Hardware,Software,Consumer Electronics,Commerce and Shopping,Mobile,,,,
1978,Real Estate,,,,,,,,
1979,Internet Services,Software,Real Estate,Consumer Goods,Energy,Food and Beverage,,,
1981,Manufacturing,Hardware,Science and Engineering,Software,,,,,
1982,Hardware,Software,Consumer Electronics,Content and Publishing,Gaming,Media and Entertainment,Mobile,,
1983,Manufacturing,Hardware,Information Technology,Internet Services,Privacy and Security,Software,Consumer Electronics,Transportation,
1984,Manufacturing,Hardware,Science and Engineering,Content and Publishing,Media and Entertainment,,,,
1985,Manufacturing,Hardware,Science and Engineering,Software,Consumer Goods,,,,
1986,Manufacturing,Financial Services,Hardware,Information Technology,Science and Engineering,Consumer Goods,Health Care,,
1987,Manufacturing,Hardware,Internet Services,Science and Engineering,Software,Media and Entertainment,Transportation,,
1988,Information Technology,Internet Services,Software,Administrative Services,Messaging and Telecommunications,,,,
1989,Manufacturing,Hardware,Science and Engineering,Software,,,,,
1990,Manufacturing,Data and Analytics,Information Technology,Internet Services,Software,Health Care,Sales and Marketing,Advertising,
1991,Financial Services,Hardware,Software,,,,,,
1992,Manufacturing,Hardware,Information Technology,Internet Services,Software,Design,Health Care,,
1993,Hardware,Information Technology,Software,,,,,,
1994,Hardware,Software,,,,,,,
1995,Hardware,Information Technology,Internet Services,Software,,,,,
1996,Hardware,Information Technology,Internet Services,Software,,,,,
1997,Manufacturing,Hardware,Internet Services,Software,,,,,
1998,Hardware,Information Technology,Internet Services,Software,,,,,
1999,Hardware,Information Technology,Internet Services,Software,Commerce and Shopping,,,,
2000,Hardware,Information Technology,Internet Services,Software,,,,,
2001,Hardware,Information Technology,Internet Services,Software,,,,,
2002,Hardware,Information Technology,Internet Services,Science and Engineering,Software,,,,
2003,Hardware,Information Technology,Science and Engineering,Software,Health Care,,,,
2004,Hardware,Information Technology,Science and Engineering,Software,Health Care,,,,
2005,Hardware,Information Technology,Internet Services,Science and Engineering,Software,Health Care,,,
2006,Hardware,Internet Services,Science and Engineering,Software,,,,,
2007,Hardware,Internet Services,Science and Engineering,Software,Health Care,,,,
2008,Internet Services,Software,,,,,,,
2009,Internet Services,Science and Engineering,Software,Health Care,,,,,
2010,Internet Services,Software,,,,,,,
2011,Internet Services,Software,,,,,,,
2012,Internet Services,Software,,,,,,,
2013,Internet Services,Software,,,,,,,
2014,Internet Services,Software,,,,,,,
2015,Internet Services,Software,,,,,,,
2016,Software,,,,,,,,
2017,Software,,,,,,,,
2018,Software,,,,,,,,
2019,Science and Engineering,Software,,,,,,,
2020,Financial Services,Science and Engineering,Software,Health Care,,,,,
